101;bunker;2113.00;15.40;2021.00;5.26;0
261;arms_factory;1502.00;10.70;1566.00;2.67;0
261;bunker;1518.00;11.10;1561.00;0.08;0
261;bunker;1507.00;9.80;1574.00;5.40;0
261;bunker;1527.00;10.98;1564.00;4.46;0
261;bunker;1494.00;10.70;1567.00;5.32;0
261;bunker;1501.00;10.55;1573.00;0.24;0
261;bunker;1508.00;10.80;1561.00;4.36;0
276;industrial_complex;1576.00;10.70;1660.00;3.41;0
276;bunker;1560.00;10.28;1653.00;0.91;0
276;bunker;1567.00;10.63;1663.00;5.04;0
276;bunker;1568.00;10.35;1659.00;0.82;0
276;bunker;1563.00;10.28;1638.00;1.43;0
276;nuclear_reactor_spawn;1574.00;10.73;1662.00;0.45;0
301;arms_factory;1915.00;9.82;481.00;2.61;0
301;industrial_complex;1925.00;10.28;505.00;5.18;0
301;bunker;1933.00;10.43;487.00;2.07;0
301;bunker;1914.00;9.73;465.00;0.01;0
301;anti_air_building;1928.00;10.35;501.00;0.52;0
301;synthetic_refinery;1939.00;10.70;482.00;1.12;0
302;arms_factory;1783.00;17.70;567.00;0.45;0
302;arms_factory;1795.00;15.63;567.00;4.67;0
302;arms_factory;1753.00;11.55;616.00;2.51;0
302;arms_factory;1746.00;20.15;564.00;3.72;0
302;arms_factory;1765.00;12.50;564.00;0.45;0
302;industrial_complex;1788.00;16.88;567.00;5.78;0
302;industrial_complex;1757.00;11.40;612.00;2.17;0
302;industrial_complex;1779.00;18.25;563.00;0.11;0
302;air_base;1766.69;20.70;554.64;2.07;0
302;bunker;1750.00;12.30;612.00;2.17;0
302;bunker;1756.00;16.63;573.00;2.68;0
302;bunker;1793.00;17.10;571.00;2.68;0
302;bunker;1772.00;16.88;589.00;5.35;0
302;bunker;1733.00;12.35;603.00;5.85;0
302;anti_air_building;1758.00;19.75;557.00;1.12;0
302;anti_air_building;1765.00;15.90;559.00;5.25;0
302;nuclear_reactor_spawn;1751.00;19.85;557.00;2.24;0
